old_name,PlotID,Num,Trt,SH_GR,pasture,old_point,,
HSHG_C_1,105T,105,T,HSHG,HG,3,,
HSHG_C_5,103C,103,C,HSHG,KC,35,,
HSHG_C_6,104C,104,C,HSHG,KC,36,,
HSHG_C_8,102C,102,C,HSHG,KC,38,,
HSHG_LRC_C,101C,101,C,HSHG,LRC,,,
HSHG_LRC_T,101T,101,T,HSHG,LRC,,,
HSHG_T_1,105C,105,C,HSHG,HG,4,,
HSHG_T_2,104T,104,T,HSHG,KC,26,,
HSHG_T_6,103T,103,T,HSHG,KC,30,,
HSHG_T_7,102T,102,T,HSHG,KC,31,,
HSLG_C_1,203C,203,C,HSLG,HG,2,,
HSLG_C_2,204C,204,C,HSLG,KC,5,,
HSLG_C_3,202C,202,C,HSLG,KC,9,,
HSLG_C_4,201C,201,C,HSLG,KC,10,,
HSLG_T_1,203T,203,T,HSLG,HG,1,,
HSLG_T_3,204T,204,T,HSLG,KC,7,,
HSLG_T_5,201T,201,T,HSLG,KC,11,,
HSLS_T_6,202T,202,T,HSLG,KC,12,,
LSHG_C_3,304C,304,C,LSHG,KC,48,,HSHG_T_5
LSHG_C_4,303C,303,C,LSHG,KC,49,,
LSHG_C_5,302C,302,C,LSHG,KC,50,,
LSHG_LRC_C,301C,301,C,LSHG,LRC,,,
LSHG_LRC_T,301T,301,T,LSHG,LRC,,,
LSHG_T_1,305T,305,T,LSHG,KC,39,,
LSHG_T_2,304T,304,T,LSHG,KC,40,,
LSHG_T_3,303T,303,T,LSHG,KC,41,,
LSHG_T_7,302T,302,T,LSHG,KC,45,,
LSLG_C_1,401C,401,C,LSLG,KC,20,,
LSLG_C_5,402C,402,C,LSLG,KC,24,,
LSLG_T_2,401T,401,T,LSLG,KC,16,,
LSLG_T_5,402T,402,T,LSLG,KC,19,,
,403T,403,T,LSLG,HP,,,
,403C,403,C,LSLG,HP,,,
